Category,"Sold Qty","SUB Total","Discount Amount","Exchange Amount","Return Amount","Net Sales (without VAT)","VAT Amount (7.5)","Net Amount"
Saree,11,"22,000.00","1,560.00",0.00,0.00,"20,440.00",92.00,"20,532.00"
SHOTORONJI,12,"577,067.00",200.00,0.00,"2,000.00","574,867.00",0.00,"574,867.00"
3PIECE,6,"12,050.00",0.00,0.00,0.00,"12,050.00",0.00,"12,050.00"
SAREE,11,"18,940.00",175.00,0.00,0.00,"18,765.00",0.00,"18,765.00"
"DESHIO KURTI",2,"1,560.00",39.00,0.00,0.00,"1,521.00",0.00,"1,521.00"
"COTTON SAREE",4,"5,000.00",0.00,0.00,0.00,"5,000.00",0.00,"5,000.00"
"SILK SAREE",1,"1,450.00",0.00,0.00,0.00,"1,450.00",0.00,"1,450.00"
"HALFSILK SAREE",3,"6,300.00",0.00,0.00,0.00,"6,300.00",0.00,"6,300.00"
"MONIPURI SAREE",4,"7,650.00",0.00,0.00,0.00,"7,650.00",0.00,"7,650.00"
"EXCLUSIVE SAREE",1,"4,800.00",0.00,0.00,0.00,"4,800.00",0.00,"4,800.00"
"DESHIO SAREE",3,"4,800.00",160.00,0.00,0.00,"4,640.00",0.00,"4,640.00"
STITCHED,4,"5,800.00",100.00,0.00,0.00,"5,700.00",0.00,"5,700.00"
STITCHED,1,"1,750.00",400.00,0.00,0.00,"1,350.00",0.00,"1,350.00"
"COTTON UNSTITCHED 3PIECE",40,"58,400.00",217.50,0.00,0.00,"58,182.50",0.00,"58,182.50"
"DESHIO 3PIECE",37,"43,950.00",0.00,0.00,0.00,"43,950.00",0.00,"43,950.00"
"DESHIO CO-ORD",3,"4,650.00",0.00,0.00,0.00,"4,650.00",0.00,"4,650.00"
"DESHIO BLOUSE PIECE",2,600.00,0.00,0.00,0.00,600.00,0.00,600.00
"DESHIO GOWN",2,"2,700.00",67.50,0.00,0.00,"2,632.50",0.00,"2,632.50"
"SILK UNSTITCHED 3PIECE",7,"10,150.00",0.00,0.00,0.00,"10,150.00",0.00,"10,150.00"
"SILK STITCHED 3PIECE",2,"3,700.00",350.00,0.00,0.00,"3,350.00",0.00,"3,350.00"
"HALFSILK UNSTITCHED 3PIECE",13,"25,500.00",0.00,0.00,0.00,"25,500.00",0.00,"25,500.00"
"COTTON STITCHED 3PIECE",3,"6,450.00",0.00,0.00,0.00,"6,450.00",0.00,"6,450.00"
"SEMI STITCHED 3PIECE",3,"8,950.00",650.00,0.00,0.00,"8,300.00",0.00,"8,300.00"
"NECK PIECE",12,"20,650.00",0.00,0.00,0.00,"20,650.00",0.00,"20,650.00"
"FINGER PIECE",6,"2,580.00",0.00,0.00,0.00,"2,580.00",0.00,"2,580.00"
"HAND PIECE",10,"7,430.00",100.00,0.00,0.00,"7,330.00",0.00,"7,330.00"
"EAR PIECE",1,380.00,100.00,0.00,0.00,280.00,0.00,280.00
"EXCLUSIVE PIECE",1,"1,350.00",0.00,0.00,0.00,"1,350.00",0.00,"1,350.00"
"HAND BAG",2,"2,700.00",67.50,0.00,0.00,"2,632.50",0.00,"2,632.50"
"TRAVEL BAG",1,"1,450.00",0.00,0.00,0.00,"1,450.00",0.00,"1,450.00"
"FASHION BAG",7,"3,360.00",0.00,0.00,0.00,"3,360.00",0.00,"3,360.00"
"60 COUNT JAMDANI",1,"3,050.00",0.00,0.00,0.00,"3,050.00",0.00,"3,050.00"
"60+80 MIX COUNT JAMDANI",1,"6,800.00",340.00,0.00,0.00,"6,460.00",0.00,"6,460.00"
"HIJAB AND SCARF",2,750.00,0.00,0.00,0.00,750.00,0.00,750.00
"40 COUNT JAMDANI",1,"1,800.00",0.00,0.00,0.00,"1,800.00",0.00,"1,800.00"
"SHIFON SAREE",3,"4,500.00",0.00,0.00,0.00,"4,500.00",0.00,"4,500.00"
