Category,"Product Code","Product Name","Product Brand","Product Description","Batch Number","Sold Quantity","Sub Total","Remaining Stock Quantity","Stock Volume",Store
Saree,sar01,"Khandani shari - Yellow",N/A,"Khandani jomidari shari",PO-20251125-000001-1,6,"12,000.00",0,0.00,OFFICE
SHOTORONJI,d3,ddd,N/A,dddddddddddd,BATCH-20260105-351AFB,2,"4,200.00",0,0.00,SHOWROOM
SHOTORONJI,d3,ddd,N/A,dddddddddddd,BATCH-20260125-0C688D,3,"6,000.00",1,"2,000.00",SHOWROOM
SHOTORONJI,d3,ddd,N/A,dddddddddddd,BATCH-20260127-9341B3,1,"2,000.00",14,"28,000.00",OFFICE
SHOTORONJI,d3,ddd,N/A,dddddddddddd,BATCH-20260203-29765B,1,"557,757.00",0,0.00,OFFICE
SHOTORONJI,d3,ddd,N/A,dddddddddddd,BATCH-20260203-29765B-DST-DSP-20260203-ED6496,0,0.00,1,"2,000.00",SHOWROOM
SHOTORONJI,d3,ddd,N/A,dddddddddddd,BATCH-20260203-958BC7,0,0.00,5,"10,000.00",OFFICE
SHOTORONJI,d3,ddd,N/A,dddddddddddd,BATCH-20260204-3BEAC3-DST-DSP-20260204-B4722A,0,0.00,0,0.00,SHOWROOM
SHOTORONJI,d3,ddd,N/A,dddddddddddd,BATCH-20260204-3BEAC3-DST-DSP-20260204-B4722A-DST-DSP-20260204-E55B03,1,"2,000.00",1,"2,000.00",OFFICE
SHOTORONJI,d3,ddd,N/A,dddddddddddd,BATCH-20260223-33C95A,1,110.00,3,330.00,SHOWROOM
SHOTORONJI,d3,ddd,N/A,dddddddddddd,BATCH-20260224-BD41B2,0,0.00,10,"10,000.00",OFFICE
SHOTORONJI,j4,jjjj,N/A,jjjjjjjjjjjjjjjjjjj,BATCH-20260101-71A2EA,2,"4,000.00",0,0.00,OFFICE
3PIECE,3pis-AC-1750,"Aarong cotton 3pis",N/A,"Aarong cotton 3pis-Red & Yellow",BATCH-20260209-711E55,1,"1,500.00",0,0.00,SHOWROOM
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-2",N/A,N/A,PO-20260224-000009-2577,0,0.00,12,"24,000.00",OFFICE
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-2",N/A,N/A,PO-20260224-000009-2577-DST-DSP-20260224-248E45,2,"4,000.00",0,0.00,SHOWROOM
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-2",N/A,N/A,PO-20260224-000009-2577-DST-DSP-20260226-572469,1,"2,000.00",0,0.00,SHOWROOM
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-2",N/A,N/A,PO-20260224-000009-2577-DST-DSP-20260226-9AF87D,1,"2,000.00",0,0.00,SHOWROOM
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-2",N/A,N/A,PO-20260224-000009-2577-DST-DSP-20260227-07F102,1,"2,000.00",0,0.00,SHOWROOM
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-2",N/A,N/A,PO-20260224-000009-2577-DST-DSP-20260227-82B26D,0,0.00,1,"2,000.00",SHOWROOM
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-2",N/A,N/A,PO-20260224-000009-2577-DST-DSP-20260228-2D49FB,1,"2,000.00",0,0.00,SHOWROOM
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-2",N/A,N/A,PO-20260224-000009-2577-DST-DSP-20260302-1B0084,1,"2,000.00",0,0.00,SHOWROOM
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-3",N/A,N/A,PO-20260224-000009-2578,0,0.00,7,"14,000.00",OFFICE
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-3",N/A,N/A,PO-20260224-000009-2578-DST-DSP-20260224-248E45,0,0.00,1,"2,000.00",SHOWROOM
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-3",N/A,N/A,PO-20260224-000009-2578-DST-DSP-20260302-1B0084,1,"2,000.00",0,0.00,SHOWROOM
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-3",N/A,N/A,PO-20260224-000009-2578-DST-DSP-20260303-0B0591,1,"1,800.00",0,0.00,SHOWROOM
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-4",N/A,N/A,PO-20260224-000009-2579,0,0.00,9,"18,000.00",OFFICE
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-4",N/A,N/A,PO-20260224-000009-2579-DST-DSP-20260224-248E45,0,0.00,1,"2,000.00",SHOWROOM
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-5",N/A,N/A,PO-20260224-000009-2580,0,0.00,8,"16,000.00",OFFICE
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-5",N/A,N/A,PO-20260224-000009-2580-DST-DSP-20260224-248E45,0,0.00,1,"2,000.00",SHOWROOM
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-5",N/A,N/A,PO-20260224-000009-2580-DST-DSP-20260226-9AF87D,1,"2,000.00",0,0.00,SHOWROOM
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-6",N/A,N/A,PO-20260224-000009-2581,0,0.00,8,"16,000.00",OFFICE
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-6",N/A,N/A,PO-20260224-000009-2581-DST-DSP-20260224-248E45,0,0.00,1,"2,000.00",SHOWROOM
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-6",N/A,N/A,PO-20260224-000009-2581-DST-DSP-20260226-8DDC29,1,"2,000.00",0,0.00,SHOWROOM
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-7",N/A,N/A,PO-20260224-000009-2582,0,0.00,9,"18,000.00",OFFICE
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-7",N/A,N/A,PO-20260224-000009-2582-DST-DSP-20260224-248E45,0,0.00,1,"2,000.00",SHOWROOM
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-8",N/A,N/A,PO-20260224-000009-2583,0,0.00,9,"18,000.00",OFFICE
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-8",N/A,N/A,PO-20260224-000009-2583-DST-DSP-20260224-248E45,0,0.00,1,"2,000.00",SHOWROOM
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-9",N/A,N/A,PO-20260224-000009-2584,0,0.00,7,"14,000.00",OFFICE
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-9",N/A,N/A,PO-20260224-000009-2584-DST-DSP-20260224-248E45,0,0.00,1,"2,000.00",SHOWROOM
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-9",N/A,N/A,PO-20260224-000009-2584-DST-DSP-20260227-82B26D,1,"2,000.00",0,0.00,SHOWROOM
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-9",N/A,N/A,PO-20260224-000009-2584-DST-DSP-20260303-0B0591,1,"1,800.00",0,0.00,SHOWROOM
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-1",N/A,"Cotton 3Piece",PO-20260224-000009-2585,0,0.00,6,"12,000.00",OFFICE
3PIECE,3pis-C3pis-A24-2000,"Cotton 3Piece - KO1-1",N/A,"Cotton 3Piece",PO-20260224-000009-2585-DST-DSP-20260224-248E45,0,0.00,1,"2,000.00",SHOWROOM
