"Dispatch Number","Dispatch Date","Source Store","Destination Store",Status,"Product Name",Category,Vendor,Barcode,"Unit Price",Quantity
DSP-20260305-6ADD0C,"2026-03-05 20:37:11",OFFICE,SHOWROOM,Delivered,"JAMDANI 3PIECE -  TA1-7",,"TA1--TANGAIL SAREE HOUSE",N/A,"1,850.00",1
DSP-20260305-A84712,"2026-03-05 20:34:06",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-22",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260305-A84712,"2026-03-05 20:34:06",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-30",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260305-562DB9,"2026-03-05 20:33:08",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-22",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260305-562DB9,"2026-03-05 20:33:08",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-30",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260305-CA3DFB,"2026-03-05 20:32:01",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-3",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260305-CA3DFB,"2026-03-05 20:32:01",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-3",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260305-AE9E2C,"2026-03-05 20:28:47",OFFICE,SHOWROOM,Delivered,"JAMDANI 3PIECE - TA1-17",,"TA1--TANGAIL SAREE HOUSE",N/A,"1,850.00",1
DSP-20260305-AE9E2C,"2026-03-05 20:28:47",OFFICE,SHOWROOM,Delivered,"JAMDANI 3PIECE - TA1-17",,"TA1--TANGAIL SAREE HOUSE",N/A,"1,850.00",1
DSP-20260305-AE9E2C,"2026-03-05 20:28:47",OFFICE,SHOWROOM,Delivered,"JAMDANI 3PIECE - TA1-17",,"TA1--TANGAIL SAREE HOUSE",N/A,"1,850.00",1
DSP-20260305-B070D4,"2026-03-05 20:22:13",OFFICE,SHOWROOM,Delivered,"COTTON 3PIECE - FA1-12",,"FA1-FASHION 3PIECE",N/A,"1,650.00",1
DSP-20260305-B070D4,"2026-03-05 20:22:13",OFFICE,SHOWROOM,Delivered,"COTTON 3PIECE - FA1-14",,"FA1-FASHION 3PIECE",N/A,"1,650.00",1
DSP-20260305-B070D4,"2026-03-05 20:22:13",OFFICE,SHOWROOM,Delivered,"COTTON 3PIECE - FA1-11",,"FA1-FASHION 3PIECE",N/A,"1,650.00",1
DSP-20260305-B070D4,"2026-03-05 20:22:13",OFFICE,SHOWROOM,Delivered,"COTTON 3PIECE - FA1-13",,"FA1-FASHION 3PIECE",N/A,"1,650.00",1
DSP-20260305-86FA84,"2026-03-05 20:16:43",OFFICE,SHOWROOM,Delivered,"COTTON 3PIECE - FA1-8",,"FA1-FASHION 3PIECE",N/A,"1,650.00",1
DSP-20260305-86FA84,"2026-03-05 20:16:43",OFFICE,SHOWROOM,Delivered,"COTTON 3PIECE - FA1-9",,"FA1-FASHION 3PIECE",N/A,"1,650.00",1
DSP-20260305-86FA84,"2026-03-05 20:16:43",OFFICE,SHOWROOM,Delivered,"COTTON 3PIECE - FA1-10",,"FA1-FASHION 3PIECE",N/A,"1,650.00",1
DSP-20260305-402AD6,"2026-03-05 20:13:57",OFFICE,SHOWROOM,Delivered,"COTTON 3PIECE - FA1-23",,"FA1-FASHION 3PIECE",N/A,"1,650.00",1
DSP-20260305-402AD6,"2026-03-05 20:13:57",OFFICE,SHOWROOM,Delivered,"COTTON 3PIECE - FA1-25",,"FA1-FASHION 3PIECE",N/A,"1,650.00",1
